курс,имя npc,название квеста,промпт для сцены
en_ru,Mara,Заказать кофе в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a cup of coffee with milk on a cozy cafe counter, two sugar cubes beside it, warm morning light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Заказать кофе в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a cup of coffee with milk on a cozy cafe counter, two sugar cubes beside it, warm morning light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,Купить воду в магазине,"casual watercolor style, language-learning quest scene, no people and no characters, a small corner-shop counter with a clear bottle of water and coins beside it, blank shelves behind, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,Купить воду в магазине,"casual watercolor style, language-learning quest scene, no people and no characters, a small corner-shop counter with a clear bottle of water and coins beside it, blank shelves behind, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Officer Park,Заявить о пропаже в полиции,"casual watercolor style, language-learning quest scene, no people and no characters, a police station front desk with a lost-item report form left completely blank and a small lost bag, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Officer Park,Заявить о пропаже в полиции,"casual watercolor style, language-learning quest scene, no people and no characters, a police station front desk with a lost-item report form left completely blank and a small lost bag, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mara,Заказать выпечку в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a fresh pastry and a small coffee cup on a cozy cafe counter, pastry display in the background, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Mara,Заказать выпечку в кафе,"casual watercolor style, language-learning quest scene, no people and no characters, a fresh pastry and a small coffee cup on a cozy cafe counter, pastry display in the background, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Sam,"Спросить, где найти товар","casual watercolor style, language-learning quest scene, no people and no characters, a corner shop aisle with everyday products and a clear path toward another aisle, all packaging blank, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
es_ru,Sam,"Спросить, где найти товар","casual watercolor style, language-learning quest scene, no people and no characters, a corner shop aisle with everyday products and a clear path toward another aisle, all packaging blank, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
