topic_id;exam;official_area;topic_ru;facts_to_cover_ru;key_terms_es;recommended_cefr_level;target_text_count;generated_text_count;priority;source_ref
META-001;CCSE;Formato del examen;Формат экзамена CCSE;Экзамен проверяет конституционные и социокультурные знания об Испании, состоит из 25 вопросов, длится 45 минут, проходной результат обычно 15 правильных ответов из 25;prueba CCSE|conocimientos constitucionales|socioculturales|25 preguntas|45 minutos|apto;A1;2;2;high;Instituto Cervantes CCSE 2026
META-002;CCSE;Formato del examen;Структура тем CCSE;Вопросы сгруппированы в 5 задач, государство и участие, права и обязанности, территория и география, культура и история, общество, первые три блока дают около 60 процентов экзамена, последние два около 40 процентов;Tarea 1|Tarea 2|Tarea 3|Tarea 4|Tarea 5|60 por ciento|40 por ciento;A2;2;0;high;Instituto Cervantes CCSE 2026
META-003;DELE A2;Formato del examen;Зачем нужен DELE A2 при гражданстве;Для гражданства Испании заявителям из неиспано-язычных стран обычно нужно подтвердить минимум A2 по испанскому, DELE A2 проверяет чтение, аудирование, письмо и устную речь;DELE A2|nacionalidad española|comprensión de lectura|comprensión auditiva|expresión escrita|expresión oral;A2;2;0;high;Instituto Cervantes DELE A2 guide
META-004;DELE A2;Formato del examen;Структура DELE A2;Чтение 60 минут и 25 вопросов, аудирование 40 минут и 25 вопросов, письмо 45 минут и 2 задания, устная часть 12 минут плюс подготовка 12 минут и 3 задания;lectura|auditiva|escrita|oral|tareas|ítems|preparación;A1;2;2;high;Instituto Cervantes DELE A2 guide
T1-001;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Конституция 1978 года;Конституция одобрена на референдуме 6 декабря 1978 года, является основным законом, задаёт правовую систему, День Конституции отмечается 6 декабря;Constitución española|referéndum|6 de diciembre de 1978|ley fundamental|Día de la Constitución;A2;3;0;high;CCSE Manual 2026 Tarea 1
T1-002;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Принципы Конституции;Уважение прав человека и законов, защита разнообразия народов Испании, социально-экономическое развитие для достойной жизни, сотрудничество с народами мира;derechos humanos|leyes|pueblos de España|vida digna|cooperación;A2;2;0;high;CCSE Manual 2026 Tarea 1
T1-003;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Форма государства;Испания это социальное и демократическое правовое государство, политическая форма монархия парламентская, высшие ценности свобода, справедливость, равенство и политический плюрализм;Estado social y democrático de Derecho|monarquía parlamentaria|libertad|justicia|igualdad|pluralismo político;B1;3;0;high;CCSE Manual 2026 Tarea 1
T1-004;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Народный суверенитет;Национальный суверенитет принадлежит испанскому народу, от народа исходят полномочия государства, граждане участвуют через выборы и представителей;soberanía nacional|pueblo español|poderes del Estado|elecciones|representantes;A2;2;0;high;CCSE Manual 2026 Tarea 1
T1-005;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Единство Испании и автономии;Испания признаётся общей и неделимой родиной, Конституция гарантирует автономию национальностей и регионов и солидарность между ними;patria común e indivisible|autonomía|nacionalidades|regiones|solidaridad;A2;2;0;high;CCSE Manual 2026 Tarea 1
T1-006;CCSE;Tarea 1 Gobierno legislación y participación ciudadana;Флаг Испании;Флаг состоит из трёх горизонтальных полос красная жёлтая красная, флаги автономных сообществ используются вместе с государственным в публичных зданиях и официальных актах;bandera de España|roja|amarilla|comunidades autónomas|actos oficiales;A0;2;2;medium;CCSE Manual 2026 Tarea 1
